name,fear_free_id,clinic,street_address_x,city,state_x,zip_code,name_upper,street_address_y,state_y,db_id
Carol Lah,158695,Dr. Lah Mobile Vet,,San Jose,CA,,DR. LAH MOBILE VET,,CA,1
Audrey Marzan,187121,MedVet Silicon Valley,,San Jose,CA,,MEDVET SILICON VALLEY,,CA,2
Michelle Fluegge,164530,Burbank Pet Hospital,,San Jose,CA,95128,BURBANK PET HOSPITAL,,CA,3
Ian Stone,18110,Blue River Pet- Central Animal Hospital,,Campbell,CA,95008,BLUE RIVER PET- CENTRAL ANIMAL HOSPITAL,,CA,4
Jeni Goedken,159166,Fond Farewell,,Campbell,CA,95008,FOND FAREWELL,,CA,5
Jenice Hayes,164855,VCA Winchester,,Campbell,CA,95008,VCA WINCHESTER,,CA,6
Alina Goh,177846,Happy Valley Pet Hospital,,Campbell,CA,95008,HAPPY VALLEY PET HOSPITAL,,CA,7
CJ Smith,52816,Sunnyvale Veterinary Clinic,,Sunnyvale,CA,94087,SUNNYVALE VETERINARY CLINIC,1036 West El Camino Real,CA,10
Nell Griscom,68499,Sunnyvale Veterinary Clinic,,Sunnyvale,CA,94087,SUNNYVALE VETERINARY CLINIC,1036 West El Camino Real,CA,10
Jeremy Hoge,73983,Sunnyvale Veterinary Clinic,,Sunnyvale,CA,94087,SUNNYVALE VETERINARY CLINIC,1036 West El Camino Real,CA,10
Baljit Chahal,124527,Sunnyvale Veterinary Clinic,,Sunnyvale,CA,94087,SUNNYVALE VETERINARY CLINIC,1036 West El Camino Real,CA,10
Andrea Sherman,148530,Sunnyvale Veterinary Clinic,,Sunnyvale,CA,94087,SUNNYVALE VETERINARY CLINIC,1036 West El Camino Real,CA,10
Julie Hermansen,151841,Sunnyvale Veterinary Clinic,,Sunnyvale,CA,94087,SUNNYVALE VETERINARY CLINIC,1036 West El Camino Real,CA,10
Allison Coyle,172660,Sunnyvale Veterinary Clinic,,Sunnyvale,CA,94087,SUNNYVALE VETERINARY CLINIC,1036 West El Camino Real,CA,10
Ruby Hsieh,150186,Pet's Friend Animal Clinic,,Sunnyvale,CA,,PET'S FRIEND ANIMAL CLINIC,,CA,8
Praadnya Shah,14917,VCA Pinnacle Animal Hospital,4724 Meridian Avenue,San Jose,CA,,VCA PINNACLE ANIMAL HOSPITAL,4724 Meridian Avenue,CA,9
Katrina Larkin,60839,Sunnyvale Veterinary Clinic,1036 West El Camino Real,Sunnyvale,CA,94087,SUNNYVALE VETERINARY CLINIC,1036 West El Camino Real,CA,10
Chloe Block,182006,Apex Veterinary Specialists,,Saratoga,CA,95070,APEX VETERINARY SPECIALISTS,,CA,11
Kenton Taylor,18402,Miramonte Veterinary Hospital,,Mountain View,CA,94040,MIRAMONTE VETERINARY HOSPITAL,,CA,12
Stephanie La Plume,216504,MedVet Mountain View,,Mountain View,CA,94040,MEDVET MOUNTAIN VIEW,,CA,13
Ingrid Peterson,31354,VCA Animal Hospital of Los Gatos,,Los Gatos,CA,95030,VCA ANIMAL HOSPITAL OF LOS GATOS,,CA,14
Hilary Wheeler,173577,The Whole Pet Vet Hospital And Wellness Center,,Los Gatos,CA,95030,THE WHOLE PET VET HOSPITAL AND WELLNESS CENTER,,CA,15
Karen Lee,173979,The Whole Pet Vet Hospital & Wellness Center,,Los Gatos,CA,95030,THE WHOLE PET VET HOSPITAL & WELLNESS CENTER,,CA,16
Samantha Gonzalez,182190,The Whole Pet Vet Hospital & Wellness Center,,Los Gatos,CA,95030,THE WHOLE PET VET HOSPITAL & WELLNESS CENTER,,CA,16
Christina Waller,193653,The Whole Pet Vet Hospital & Wellness Center,,Los Gatos,CA,95030,THE WHOLE PET VET HOSPITAL & WELLNESS CENTER,,CA,16
Jazmin Munoz Gonzalez,165490,Oakridge Veterinary Clinic,,San Jose,CA,95123,OAKRIDGE VETERINARY CLINIC,,CA,17
Stacy Hare,165894,VCA Blossom Hill Animal Hospital,,SAN JOSE,SA,95123,VCA BLOSSOM HILL ANIMAL HOSPITAL,,SA,18
Courtney Scarborough,46470,VCA Orchard Plaza Animal Hospital,5841 Cottle Road,San Jose,CA,95123,VCA ORCHARD PLAZA ANIMAL HOSPITAL,5841 Cottle Road,CA,19
Emily Hwang,140642,Banfield Pet Hospital,,Fremont,CA,94538,BANFIELD PET HOSPITAL,,CA,20
Emily Hwang,141137,Banfield Pet Hospital,,Fremont,CA,94538,BANFIELD PET HOSPITAL,,CA,20
Nichole Arbona,165052,VetnCare- Irvington Pet Hospital,,Fremont,CA,94538,VETNCARE- IRVINGTON PET HOSPITAL,,CA,21
Natalie Sun,137834,Warm Springs Pet Hospital,,Fremont,CA,94539,WARM SPRINGS PET HOSPITAL,,CA,22
Amanda Fiser,8770,Adobe Animal Hospital,,Los Altos,CA,94022,ADOBE ANIMAL HOSPITAL,,CA,25
Kerri Shandro,23143,Adobe Animal Hospital,,Los Altos,CA,94022,ADOBE ANIMAL HOSPITAL,,CA,25
Amy Nichelason,23977,Amy Nichelason,,Los Altos,CA,94022,AMY NICHELASON,,CA,23
Charlotte Corces,24594,Adobe Animal Hospital,,Los Altos,CA,94022,ADOBE ANIMAL HOSPITAL,,CA,25
Breanna Hillman,32968,Breanna Hillman,,Los Altos,CA,94022,BREANNA HILLMAN,,CA,24
Marie Caroline Sanoner,202947,Adobe Animal Hospital,,Los Altos,CA,94022,ADOBE ANIMAL HOSPITAL,,CA,25
Paz Gafter,165123,Pathway Canyon Creek Pet Hospital,,San Jose,CA,95138,PATHWAY CANYON CREEK PET HOSPITAL,,CA,26
Maryam O'Hara,167040,Pathway Canyon Creek Pet Hospital,,San Jose,CA,95138,PATHWAY CANYON CREEK PET HOSPITAL,,CA,26
